629191,Ms.+Dreiss,54565,266,2656303,285
629429,SZERRSZE%C5%83,18504,0,0,463
634444,muton9k,43670,1214,14312834,84
634701,J0007,43670,311,3756860,250
634967,lelek19,54565,1666,20194612,25
635697,adireporter18,54565,226,2735120,280
636885,paulada,54565,1870,22055300,16
636921,IMRIHT,41084,1852,21293211,19
642448,medalao,16650,7,67661,433
644392,firemen13,43670,677,7788276,179
645100,Gatorek,54565,671,6790361,192
646359,bialy25,16650,1038,12008827,115
647113,diablica14,16650,209,2485566,292
647151,qubalix,54565,2105,25574774,5
648773,wojtekwpr,54565,1606,19296848,30
650851,gregorek,16650,958,10311916,141
653273,piotrek609,54565,154,1753906,316
653316,Tedas,6298,20,183743,415
655916,Graczykos,54565,114,1380084,336
658579,Sagaen,43670,87,890069,360
659623,lucas+lodz,54565,886,9292938,152
664738,Knopsi,16650,917,10385587,139
665820,czakosmj,54565,686,8200976,172
666168,Schisman42,54565,454,5467658,213
666472,Lordii666,55030,454,5021219,229
667588,ascanio1,16650,598,6896322,189
668693,bat7,16650,312,3347731,264
669845,Jarco,54565,642,6032645,203
670014,cobra64,43670,1862,22310357,13
671531,Matys21105,54765,1772,17282666,53
673008,JumpTheRiver,16650,1590,17578219,48
674385,Nodal,43670,1,12154,442
675124,Sir+Przemus,43670,582,5366781,217
675955,kojot73,55140,1,116,461
676281,Sanwil,16650,1336,14482980,82
676323,DanCo,41084,163,1895533,311
679252,arctic-warrior,41084,1632,18672210,37
679490,FORTEPIAN,43670,784,9343243,151
679866,kinderP,54565,1312,15760899,69
679975,OZOON,54760,2,2618,451
680426,Mastermixus,41084,907,10588749,136
681843,poorparcel,54565,364,3634945,256
681897,Chou,18504,4,48616,435
684862,sir+August,41084,516,6270905,198
685619,sopoter,54568,4,35535,437
687749,nuneczka24,16650,1808,19752321,29
689139,marek1967,54760,5,3955,449
689219,rot00,54565,925,11241974,126
690746,Syrian20,0,76,834528,362
691687,rudy06,54565,377,3379797,262
691874,Skelthimd,43670,19,157398,419
692186,agirre,16650,884,9423635,150
693767,gornikking,41084,2066,23756726,9
696360,abrowarek,41084,165,1983143,310
696854,Nabram,21984,41,484206,389
697302,Mocz+tenora,0,424,4644396,239
697646,Hemcio,54565,1476,14771193,79
698708,%40res,55034,16,134305,423
698819,colombina01,43670,1312,15901552,65
699082,bobo230,43670,35,418853,395
699514,robi30,54565,1211,14130514,88
699817,Atylka+hun,43670,124,1457712,331
700326,Antonio2007,0,1419,15716399,70
700526,pawel-d,16650,1563,17633769,46
700602,lord+Arkas,16650,205,2477164,293
700614,glebinow,16650,944,10874445,133
702970,yarek007,54718,29,352433,401
706659,PEPE2007,43670,41,509461,385
707415,czarnoksieznik+ozz,55030,62,697286,371
709672,audic,54565,712,8449630,168
709892,trol55,43670,101,1220625,345
710829,Megi-kg,43670,638,6711685,194
711684,Franczesq,43670,1014,12036369,114
712216,toreno1,16650,1272,12587900,105
713453,DawKac,54565,2337,28395655,2
714595,pawelek1001,18504,73,887242,361
714869,baca68,55030,107,1217267,346
717950,lezeb,54565,123,1398966,335
718408,dav77,41084,1405,16820224,59
723226,Gregpine,16650,248,2436483,294
723708,micha%C5%8273,43670,936,11353965,124
725019,tolkinson,55030,1334,14025607,90
725387,Tuczek1996,55030,53,598572,378
725538,edool,43670,233,2667886,284
726289,adario,54565,79,767138,364
726340,trzepacz91,16650,649,7701215,180
727238,dzimmmi,0,169,1618542,322
728826,joker221,43670,161,1645959,319
729868,gerudir,43670,558,6632995,196
730548,mario1376,55030,45,546177,383
731927,Lanndo,0,33,401034,397
735204,misiu9lat,16650,553,6667911,195
736904,Rabban,41084,840,8884136,159
743610,kylu4,55030,1067,12067550,113
744751,OKO84,0,108,810849,363
747422,janush4,16650,139,1516466,328
748134,madziarrrka,16650,1460,17586439,47
748604,w%C5%82atcy+m%C3%B3ch%C3%B3w,43670,1688,20467468,24
748696,HariSeldon,55079,1418,14981438,75
749437,wtatar,55030,692,8056333,176
750479,adolf33,43670,281,3386151,261
751623,Szymsan,54760,1,1539,456
751763,Mariux,16650,1474,15856013,66
752713,Gimli+s.Gloina,24730,267,2204057,299
754078,gamin,41084,1139,13779560,94
758555,cena19,55030,66,663957,373
